Title,Content
this stuff works ,every time i drink  i get the asian flushing really bad  my face would get very splotchy and unattractive  i use to take pepcid ac but now i use bibi s beverage   lighten up and it really works  i wish it wasn t so pricey but i rather take this natural product vs a medication  highly recommend   
this is a great daily cleanse shot i take every morning   ,i purchased this shot as my friend recommended it to me for hangovers  to my pleasant surprise  it tasted really good and was on par with a lot of high end  juice shot  products  the pricing is on par with juice shots  so i just buy them in bulk and take a shot everyday  i am a big fan of charcoal and this is a great way to intake it daily 
natural detoxification using ancient proven ingredi,this product brings back a long ancient history of proven ingredients to help detoxify in the modern age  it helps with ridding the asian glow but also helps detoxify in general using natural ingredients instead of synthesized drugs  like pepcid and zantac   i recommend this for anyone who gets red when they drink or just wanting to help the body detox  especially when drinking alchohol  
effective   yummi,i love red wine  but it makes me have really embarrassing cheek redness and a hot face  it also makes me feel slightly hungover now even to drink small amounts socially as i get older  i am glad i tried bibi because it truly helps with redness  hot cheeks and preventing hangover headaches  it also tastes really great and has a bunch of antioxidants and vitamins in it  i feel like i can still be social and take care of my body using bibi  i definitely recommend you try this 
better and safer than pepcid,bought this for my girlfriend who gets the glow  face  all over her back  and other random places  and has been experimenting with patches and other weird products as of late  none of which have worked and cost more      pepcid works okay but is obviously not the best choice and not the healthiest  so i wanted to try to get her to switch to something healthier  i searched amazon and came across bibi  read through the ingredients  did more research online and it seemed like a safe bet  so i bought a pack on a wed  it came on friday and i  surprised  her with these  as we were going out drinking for a friends bday  she drank two over     hours and experienced no symptoms   no redness  no headache  other than the hangover the day after   nothing  definitely recommend giving this a shot   no pun intended 
this stuff is a life saver   actually works     ,i found this stuff last minute before a friend s bachelor party last weekend  i ve tried many hangover prevention products with little to no success  despite many failing  i ve refused to give up and am grateful for my persistence because to my surprise  this stuff actually works  woohoo  i finally have my long sought after hangover prevention routine  i took both the  nightcap  and  morning after  shots daily  and felt great all weekend  all the guys in my group took turns buying rounds for everyone so we pretty much drank the same amount all weekend  and i was the only person not hating my life on the regular  in fact  i felt great   i m still in awe that this stuff works as well as it does  it s portable  tastes great  and best of all  works like a charm  trust me  it s money well spent  enjoy and play safe party people 
this did not work,this was horrible   the worst tasting in my life  i give it no stars  i tried to chug it and still i basically threw up a little  i got the chills down my back how bad this was  after drinking this vomit drink i felt happy it might work even though the process of drinking it was painful   guess what  it did not work at all  honestly think it made it worse lol got hot and red and itchy like usual and even faster than usual  so let me help you out and do not buy this  i need something to help me out for when i m not wearing makeup and drinking so if any has suggestions please help 
this stuff is amazing     ,i found this stuff last minute before a friend s bachelor party last weekend  i ve tried many hangover prevention products with little to no success  despite many failing  i ve refused to give up and am grateful for my persistence because to my surprise  this stuff actually works  woohoo  i finally have my long sought after hangover prevention routine  i took both the  nightcap  and  morning after  shots daily  and felt great all weekend  all the guys in my group took turns buying rounds for everyone so we pretty much drank the same amount all weekend  and i was the only person not hating my life on the regular  in fact  i felt great   i m still in awe that this stuff works as well as it does  it s portable  tastes great  and best of all  works like a charm  trust me  it s money well spent  enjoy and play safe party people 
highly recommend ,honestly  this product saved me  we all know mixing drinks isn t the way to go  so i had to learn the hard way  the next morning i had a horrible hangover and stomach pain  i took this shot and i felt the effects taking place  i d say about an hour or so i was up and moving around  this definitely helped me out 
my new favorite hangover hack,even just after   glass of wine  i can t seem to shake off that groggy feeling when i wake up the next day  hangovers suck  the past few months i ve been exploring natural remedies to avoid that sluggish feeling the morning after and i m ecstatic that i finally i found my product  initially when i stumbled upon this product i was impressed with the ingredients and i enjoy the fact these are shots vs  big   oz drinks  i m very happy with this discovery and hang them out to my friends all the time after a night of drinking 
my new favorite hangover hack,i cannot afford to be hungover as i have a very busy and social work schedule and found that this really does help my body  detox  overnight after a few drinks  drinking water to stay hydrated is one thing but what really stood out to me is it s packed with great natural ingredients your body definitely appreciates  i always keep one right by my nightstand next to my water   i even sometimes take a shot before bed without having drank alcohol since it s a great way to pack in some nutrients 
pair with the night cap ,hangover induced nausea has a real enemy in this product  i ve used it three times so far  and it has kept the nausea at bay  the color is off putting  but don t worry  it doesn t stain your teeth after you ve washed it down  i found it to be most effective when paired with bibi s night cap product  which is the reason for the   stars  still a great product to keep around  especially if you have things to do after you go out the night before 
works great   ,poor sleep nowadays wrecks me more the next day than the actual hangover  nightcap makes me sleep much better after a night of drinking than any other product i ve tried  most likely due to the magnesium  the other ingredients tremendously reduce the headache and other painful effects the day after  highly recommend   
finally  hangover relief that works  thank you ,after a night of overindulging in a nice bottle of red wine  i woke up feeling less than ideal  i downed a bottle of morning after and was feeling so much better within an hour  i now recommend this product to my friends regularly and keep it on hand for dinner parties  it is surprisingly tasty  i love that it s small enough to fit in my purse just in case i don t make it home or forget to drink it before work  super product  thanks bibi 
best remedy for asian glow ,best product for alcohol redness  i m always embarrassed to drink with friends or coworkers because of how red i get  plus drinking just doesn t make me feel great  this product allows me to drink and socialize with much less redness and negative effects like headache  with this product i can do a few cocktails before feeling flush versus my normal flushing from less than one drink  drink the product    minutes before you plan on having alcohol 
turned a believer out of m,i drank this the night of my   th birthday  and lets just say  i wasn t expecting to feel great the next day  i was very shocked and pleasantly surprised to wake up with no hangover  i was just groggy from the predictable lower quality of sleep one gets after a long night of partying  i had no nausea or headache  both in the morning and later on in the evening when my hangovers usually kick into high gear  i ll definitely be keeping these around 
great  effective hangover cur,gave this a try and was very happy with the results  effective at relieving my hangovers and also contains natural  healthy ingredients  really like the activated charcoal since i usually have an unsettled stomach in the mornings  i have been recommending this to my friends to try  and would recommend it to anyone reading this review 
if you enjoy a drink  this is for you ,love this product  i have been combining it with its sister product  morning after  and the two together are a magical combination  this helps  me fall asleep without the sick headache feeling that comes after drinking  it also helps me wake up feeling much better than usual  this product is worth it and i highly recommend it to alcohol users 
my brain is very vital to my work,as someone working in the finance world my brain has to be on point every day   with money on the line i have no room for error  that being said when july  th rolled around i couldn t resist celebrating americas birthday with a few too many beers  this product saved my monday morning           
would recommend ,i love this product  i am pretty sensitive to  alcohol and feel some degree of a hangover no matter how much i drink  even just one   i have used this so far with varying amounts of alcohol consumption and i find it effective every time  i feel at ease knowing i have this as an option when i wake up feeling nauseous 
sham,it doesn t do anything  i don t notice a single bit of difference  i ve tried morning  before  during   doesn t matter  product doesn t work
