Title,Content
tastes like the smell of gasolin,the taste is absolutely terrible and i don t feel as if it did anything for my hydration at all  i also agree with the other reviews on here that the matcha sourcing is sketchy  at best  there are far better hydration powders out there with far better ingredient qu
great flavor and another form of coffee ,this drink puts some pep in my step and helpful to my morning routine  great flavor and enjoyable as coffee  i can t wait to taste the hydrated one 
won t disclose source for matcha love the hydration multipli,first  i want to say that i have been using liquid iv hydration multiplier for a couple years now  and love it  it has been a life saver for me  literally  when i ve gotten really sick  i was super excited when they came out with the new energy multiplier  but after asking three separate times  and waiting two weeks  they will not disclose the source of their matcha  matcha is very much known to have high levels of metals depending on the source  this bummed me out  i understand privacy  but you ve unfortunately lost a customer  thankfully  another company with a similar product  energy bomb  disclosed exactly where they get their matcha and that they test it  x for metal levels before packaging  all within an hour of me asking  though i will continue to use the hydration multiplier  i will have to refrain from your energy multiplier 
  star  stay away,honestly  i thought i give liquid iv a try after trying various of different brands  hydrant seems to be the best one  for liquid iv  taste is a huge issue for them  cool packaging with the graphics but i would probably rank them the worst in the market with taste  i also didn t feel great after drinking this product 
great taste  solid energy   quality ingredi,m f  i typically drink a small cup of coffee     yerba mate     mg caffeine    oz  can  a day     pushing    mg of caffeine  daily  this routine was obviously contributing dehydration  which is what originally attracted me to liquid i v  and their triple hydration formula  water alone wasnt providing hydration relief  but rather on a constant loop of water in     water out  purchased the triple hydration formula and i was baffled at the results  which led me to purchasing their liquid i v   energy multiplier  packets  and again i m nothing but impressed with the results thus far  although i may have my small cup of coffee in the am  yerba mate immediatlely got the  axe  and replaced with   pk     mg  of the  energy multiplier  in    oz  of water  flavor is reminiscent of a light  green juice  does not taste artificial or syrupy  and provides great energy throughout the day  additionally  this cut down my daily intake of caffeine  in fluid ounces  by roughly       therefore leaving me with ample time to focus on proper hydr
i love this stuff   ,i ordered this after trying and loving the original liquid iv  i m so impressed  i ve pretty much replaced coffee completely now  i was a coffee drinker for over    years and didn t feel like it helped me awake up at all  there s no crash afterwards  you feel hydrated and alert and refreshed  it tastes great once you get used to the  greenie  taste  it blends ok and you do have to keep stirring it up because some of it floats to the bottom  all in all       
great taste and it works  ,this stuff works   i ve been working from home and my energy levels were just so low   i would get so sleepy after i had my lunch at about   pm so i decided to buy this   i love the taste but it is something i had to get used to which did not take long maybe one or two days   this is a great mid day pick me up      tip  mix it in cold water for better taste    i could drink it with room temp water or cold   by the  rd or  th individual pack i loved the taste of it  
life sav,this product is awesome  i have one pack in the morning and picked me up properly it is different from drinking a cuppa coffee but there s no crash  this flavor could be offputting to some people to me it s great  i m going to purchase this product again 
does the trick   great product   ,this product definitely boosts energy levels  i purchased this because i have cancer and my energy levels were so low due to the chemo  this concoction is powerful and i d suggest taking a few sips first to see how you respond  one prepared bottle lasted me a few days 
feels good in soccer gam,drink in soccer game give me strenth  the price is the only conern  lol
mix with a regular lemon lime iv  ,i agree it sucks not knowing where ingredients are sourced  i also found this to be very bland in flavor   essentially it reminds me of a daily greens kinda mix with a kick of energy  i ended up the second day taking and mixing with one packet of liquid iv lemon lime and it made it taste better in my opinion   i m pretty sure i got the best results out of this product that way  not sure if i will buy again soon or try something else but it was worth the try and    great product just room to improve i feel    
definitely worth a try ,i liked this product well enough  the flavor isn t the greatest  but it s drinkable  i ll be trying others before i choose to stick with this one  but there s a chance i d buy it again  the caffeine felt natural and didn t make me jittery  that part i liked 
liquid iv baby ,i love it  my daughter had a sample and i was very tired  it was the  th of july and i was in a sloth move  so i tried the sample and a burrrrrst of energy all day  i told my brother he tried the sample and loved it  so now all my brothers and my family members are taking both products 
it s perfect and tastes great,love this product
